Title,Author,Rate
Little Fires Everywhere,Celeste Ng,4.20
"Pandora (New Tales of the Vampires, #1)",Anne Rice,3.78
"Tiger's Quest (The Tiger Saga, #2)",Colleen Houck,4.31
Danny the Champion of the World,Roald Dahl,4.08
The Passion,Jeanette Winterson,4.11
Narrative of the Life of Frederick Douglass,Frederick Douglass,4.06
Scars and Voices: And Other Stories,Adam Carpenter Welles,4.47
Maus II: A Survivor's Tale: And Here My Troubles Began,Art Spiegelman,4.36
"A Fairy Awesome Story (A Fairy Awesome Story, #1)",Ellie Aiden,3.73
Almost Transparent Blue,Ryū Murakami,3.30
لا تحزن,عائض القرني,4.13
Don't Close Your Eyes,Lynessa Layne,3.48
Columbine,Dave Cullen,4.27
I Am Pilgrim,Terry Hayes,4.27
Hell's Angels,Hunter S. Thompson,3.99
"The Name of This Book Is Secret (Secret, #1)",Pseudonymous Bosch,4.06
The Plains of Passage (Earth's Children #4),Jean M. Auel,3.82
Dreamcatcher,Stephen King,3.64
"Written in Red (The Others, #1)",Anne Bishop,4.25
"Across the Nightingale Floor (Tales of the Otori, #1)",Lian Hearn,4.06
Killing Yourself to Live: 85% of a True Story,Chuck Klosterman,3.84
Pleasant Day,Vera Jane Cook,4.31
Life Song,Christine M. Knight,4.15
In Farleigh Field,Rhys Bowen,3.97
"Glass (Crank, #2)",Ellen Hopkins,4.29
"Harold and the Purple Crayon (Harold, #1)",Crockett Johnson,4.26
The Mountain's Morning Song,William Graney,4.42
"The Past (VanWest, #1)",Kenneth   Thomas,3.80
Lost Horizon,James Hilton,3.94
Rooftops of Tehran,Mahbod Seraji,3.87
Utopia,Thomas More,3.55
"Mr. Penumbra's 24-Hour Bookstore (Mr. Penumbra's 24-Hour Bookstore, #1)",Robin Sloan,3.73
"Wolves of the Calla (The Dark Tower, #5)",Stephen King,4.17
We Are the Ants,Shaun David Hutchinson,4.15
The Bane Chronicles,Cassandra Clare,4.12
"Heartstopper: Volume Three (Heartstopper, #3)",Alice Oseman,4.62
L'Assommoir,Émile Zola,4.06
The Time Keeper,Mitch Albom,3.87
"Bitterblue (Graceling Realm, #3)",Kristin Cashore,3.99
Tortilla Flat,John Steinbeck,3.83
"Fullmetal Alchemist, Vol. 1 (Fullmetal Alchemist, #1)",Hiromu Arakawa,4.51
"Thief of Time (Discworld, #26; Death, #5)",Terry Pratchett,4.23
"Undead and Unwed (Undead, #1)",MaryJanice Davidson,3.81
"Metro 2033 (Metro, #1)",Dmitry Glukhovsky,4.00
Death with Interruptions,José Saramago,3.97
Underworld,Don DeLillo,3.93
"The Dark Elf Trilogy Collector's Edition (Forgotten Realms: Dark Elf Trilogy, #1-3; Legend of Drizzt, #1-3)",R.A. Salvatore,4.34
Totto-chan: The Little Girl at the Window,Tetsuko Kuroyanagi,4.37
The Couple Next Door,Shari Lapena,3.80
"First Test (Protector of the Small, #1)",Tamora Pierce,4.19
"Fire Study (Study, #3)",Maria V. Snyder,3.91
"The Foundation Trilogy (Foundation, #1-3)",Isaac Asimov,4.41
Junky,William S. Burroughs,3.85
Out,Natsuo Kirino,3.95
"Angel (Angel, #1)",L.A. Weatherly,3.86
"The Black Echo (Harry Bosch, #1; Harry Bosch Universe, #1)",Michael Connelly,4.10
Glamorama,Bret Easton Ellis,3.56
"Tithe (Modern Faerie Tales, #1)",Holly Black,3.71
High-Rise,J.G. Ballard,3.63
Crossroads and the Dominion of Four,C. Toni Graham,4.27
Annabel Horton: Lost Witch of Salem,Vera Jane Cook,4.08
"The 13½ Lives of Captain Bluebear (Zamonia, #1)",Walter Moers,4.27
Pale Blue Dot: A Vision of the Human Future in Space,Carl Sagan,4.30
Coming Storm,David J Morden,4.24
Trouble on Main Street (Sugar Mountain #1),Kirsten Fullmer,4.27
Another Roadside Attraction,Tom Robbins,3.98
"Saga, Volume 1",Brian K. Vaughan,4.17
Reversione: Reset the Future,Chris A. Jones,4.18
"Thunderhead (Arc of a Scythe, #2)",Neal Shusterman,4.43
"Dragons of Autumn Twilight  (Dragonlance: Chronicles, #1)",Margaret Weis,3.99
The Feast of the Goat,Mario Vargas Llosa,4.30
Dueling Fates,Stephanie M. Allen,4.31
Moon Tiger,Penelope Lively,3.87
Psycho (Psycho #1),Robert Bloch,4.11
The Golden Notebook,Doris Lessing,3.76
"The Indian in the Cupboard (The Indian in the Cupboard, #1)",Lynne Reid Banks,3.92
The Castle,Franz Kafka,3.95
Go Tell It on the Mountain,James Baldwin,4.02
"The Hero and the Crown (Damar, #2)",Robin McKinley,4.21
The Man Who Was Thursday: A Nightmare,G.K. Chesterton,3.81
"El psicoanalista (El psicoanalista, #1)",John Katzenbach,4.12
The Snow Child,Eowyn Ivey,3.98
"Steelheart (The Reckoners, #1)",Brandon Sanderson,4.13
Desert Solitaire,Edward Abbey,4.19
Little Bee,Chris Cleave,3.71
Burr,Gore Vidal,4.08
"Dune Messiah (Dune Chronicles, #2)",Frank Herbert,3.89
The Thousand Autumns of Jacob de Zoet,David Mitchell,3.98
Independent People,Halldór Laxness,4.16
The Solitude of Prime Numbers,Paolo Giordano,3.62
The V Girl: a Coming of Age Story,Mya Robarts,4.01
"Leviathan Wakes (The Expanse, #1)",James S.A. Corey,4.26
The Education of Little Tree,Forrest Carter,4.12
"Lodestar (Keeper of the Lost Cities, #5)",Shannon Messenger,4.60
"Drum Beats, Heart Beats (Dancing Soul Trilogy, #3)",Maria Nhambu,4.28
"Lover Reborn (Black Dagger Brotherhood, #10)",J.R. Ward,4.32
A Gracious Enemy,Michael G. Kramer,4.30
"The Miserable Mill (A Series of Unfortunate Events, #4)",Lemony Snicket,3.85
In and Out of Step,Christine M. Knight,4.04
"Archangel's Kiss (Guild Hunter, #2)",Nalini Singh,4.20
"Complicated Moonlight (DCYE, #2)",Lynessa Layne,4.15
"Torment (Bloodlines, #2)",Lindsay Anne Kendal,3.96
Memories Of My Future,Ammar Habib,4.40
"The Last Kingdom (The Saxon Stories, #1)",Bernard Cornwell,4.25
"The Holy Bible: New American Standard Version, NASB",Anonymous,4.62
"Revelations (Bloodlines, #3)",Lindsay Anne Kendal,4.02
"The Dark Is Rising Sequence (The Dark is Rising, #1-5)",Susan Cooper,4.28
Eye for Eye (Talion #1),J.K. Franko,4.28
Jesus' Son,Denis Johnson,4.12
"The Winter Sea (Slains, #1)",Susanna Kearsley,4.09
"Through the Ever Night (Under the Never Sky, #2)",Veronica Rossi,4.12
"The Cay (The Cay, #1)",Theodore Taylor,3.78
"Sex, Drugs, and Cocoa Puffs: A Low Culture Manifesto",Chuck Klosterman,3.73
"The Black Prism (Lightbringer, #1)",Brent Weeks,4.22
The Garden of Eden,Ernest Hemingway,3.72
"Feed (Newsflesh, #1)",Mira Grant,3.86
Cocaine Nights,J.G. Ballard,3.54
Big Sur,Jack Kerouac,3.84
"The Alloy of Law (Mistborn, #4)",Brandon Sanderson,4.20
A Thousand Acres,Jane Smiley,3.80
On Chesil Beach,Ian McEwan,3.59
Life... Love... Kumbh...,Aporva Kala,3.54
Lone Survivor: The Eyewitness Account of Operation Redwing and the Lost Heroes of SEAL Team 10,Marcus Luttrell,4.31
"Thirst No. 1: The Last Vampire, Black Blood, and Red Dice (Thirst, #1)",Christopher Pike,3.84
Miss Lonelyhearts / The Day of the Locust,Nathanael West,3.90
"Casino Royale (James Bond, #1)",Ian Fleming,3.75
"Harry Potter Collection (Harry Potter, #1-6)",J.K. Rowling,4.72
"Embrace (The Violet Eden Chapters, #1)",Jessica Shirvington,4.01
Stones (One True Child #5),L.C. Conn,4.28
"Found (The Missing, #1)",Margaret Peterson Haddix,3.98
The Candidate and other stories,Samuel R. George,4.31
Orphan Train,Christina Baker Kline,4.18
"Clockwork Angel; Clockwork Prince; Clockwork Princess (The Infernal Devices, #1-3)",Cassandra Clare,4.67
The Histories,Herodotus,3.97
"Queen of Air and Darkness (The Dark Artifices, #3)",Cassandra Clare,4.35
Unaccustomed Earth,Jhumpa Lahiri,4.09
"The Winter King (The Warlord Chronicles, #1)",Bernard Cornwell,4.26
"The Eternity Code (Artemis Fowl, #3)",Eoin Colfer,4.03
Deliverance,James Dickey,3.88
"A Kingdom of Flesh and Fire (Blood and Ash, #2)",Jennifer L. Armentrout,4.47
"These Violent Delights (These Violent Delights, #1)",Chloe Gong,4.02
Ariel,Sylvia Plath,4.20
"Furies of Calderon (Codex Alera, #1)",Jim Butcher,4.11
The Clown,Heinrich Böll,3.97
"UnWholly (Unwind, #2)",Neal Shusterman,4.24
"Half Bad (The Half Bad Trilogy, #1)",Sally Green,3.78
"Last Argument of Kings (The First Law, #3)",Joe Abercrombie,4.29
"Apollyon (Covenant, #4)",Jennifer L. Armentrout,4.34
"Blood Song (Raven's Shadow, #1)",Anthony Ryan,4.40
"My Soul to Take (Soul Screamers, #1)",Rachel Vincent,3.87
The Bone People,Keri Hulme,4.05
"Fifth Business (The Deptford Trilogy, #1)",Robertson Davies,4.06
"Beneath This Man (This Man, #2)",Jodi Ellen Malpas,4.28
"The Body Farm (Kay Scarpetta, #5)",Patricia Cornwell,4.05
The Richest Man in Babylon,George S. Clason,4.26
Blood and Chocolate,Annette Curtis Klause,3.78
"Mr. Mercedes (Bill Hodges Trilogy, #1)",Stephen King,3.97
The Black Obelisk,Erich Maria Remarque,4.38
Guess How Much I Love You,Sam McBratney,4.37
"Feet of Clay (Discworld, #19; City Watch, #3)",Terry Pratchett,4.27
"Fear (Gone, #5)",Michael  Grant,4.23
"Eighth Grade Bites (The Chronicles of Vladimir Tod, #1)",Heather Brewer,3.93
The Largesse of the Sea Maiden,Denis Johnson,3.90
The Monk Who Sold His Ferrari: A Fable About Fulfilling Your Dreams and Reaching Your Destiny,Robin S. Sharma,3.87
"Love Unscripted (Love, #1)",Tina Reber,4.02
We Should All Be Feminists,Chimamanda Ngozi Adichie,4.43
"Falling Kingdoms (Falling Kingdoms, #1)",Morgan Rhodes,3.78
"The Book of Life (All Souls, #3)",Deborah Harkness,4.18
Tampa,Alissa Nutting,3.45
"The Enchantress Returns (The Land of Stories, #2)",Chris Colfer,4.47
"The Mysterious Benedict Society and the Prisoner's Dilemma (The Mysterious Benedict Society, #3)",Trenton Lee Stewart,4.30
"The Absolute Sandman, Volume One",Neil Gaiman,4.65
Elsewhere,Gabrielle Zevin,3.90
"Gregor the Overlander (Underland Chronicles, #1)",Suzanne Collins,4.01
The Portable Dorothy Parker,Dorothy Parker,4.34
"War Horse (War Horse, #1)",Michael Morpurgo,4.14
A Mango-Shaped Space,Wendy Mass,4.21
"The Black Stallion (The Black Stallion, #1)",Walter Farley,4.18
"Temple of the Winds (Sword of Truth, #4)",Terry Goodkind,4.01
The Grifters,Jim Thompson,3.91
Let it Snow,John Green,3.72
Eliza and Her Monsters,Francesca Zappia,4.17
"Destroy Me (Shatter Me, #1.5)",Tahereh Mafi,4.16
The Strange and Beautiful Sorrows of Ava Lavender,Leslye Walton,4.03
"Virals (Virals, #1)",Kathy Reichs,3.94
12 Rules for Life: An Antidote to Chaos,Jordan B. Peterson,3.93
The Sex Lives of Siamese Twins,Irvine Welsh,3.81
"Slated (Slated, #1)",Teri Terry,4.07
The Children Act,Ian McEwan,3.71
Musashi,Eiji Yoshikawa,4.47
"Sweet Peril (Sweet, #2)",Wendy Higgins,4.25
"Gemina (The Illuminae Files, #2)",Amie Kaufman,4.44
If You Could See Me Now,Cecelia Ahern,3.86
Rubáiyát of Omar Khayyám,Omar Khayyám,4.18
Cloudstreet,Tim Winton,4.00
Vampire Origins - Project Ichorous (The Strigoi #1),Riley Banks,3.88
"Spellbound in His Arms (The Greek Isles Series, #1)",Angel Sefer,3.87
"Forsaken (The Secret Life of Amy Bensen, #3)",Lisa Renee Jones,4.09
"The Sorcerer of the North (Ranger's Apprentice, #5)",John Flanagan,4.27
"Green Rider (Green Rider, #1)",Kristen Britain,4.05
Lincoln,Gore Vidal,4.22
"Pride and Prejudice and Zombies (Pride and Prejudice and Zombies, #1)",Seth Grahame-Smith,3.31
"Plague (Gone, #4)",Michael  Grant,4.18
Extreme,Joan Gelfand,4.33
"Titus Groan (Gormenghast, #1)",Mervyn Peake,3.91
"The Fairy Next Book (A Fairy Awesome Story, #2)",Ellie Aiden,4.07
Have a Little Faith: a True Story,Mitch Albom,4.17
"One Grave at a Time (Night Huntress, #6)",Jeaniene Frost,4.22
"The Fairiest Fairy of Them All (A Fairy Awesome Story, #3)",Ellie Aiden,4.26
"The Goddess Test (Goddess Test, #1)",Aimee Carter,3.79
The Complete Stories,Franz Kafka,4.34
"Rule (Marked Men, #1)",Jay Crownover,4.13
"Captive Prince (Captive Prince, #1)",C.S. Pacat,3.82
"A Torch Against the Night (An Ember in the Ashes, #2)",Sabaa Tahir,4.25
The Room,Hubert Selby Jr.,3.66
The Hero With a Thousand Faces,Joseph Campbell,4.13
"Rabbit, Run",John Updike,3.58
"The Lost Colony (Artemis Fowl, #5)",Eoin Colfer,4.00
The Raw Shark Texts,Steven  Hall,3.80
"River Secrets (The Books of Bayern, #3)",Shannon Hale,4.05
Snow,Orhan Pamuk,3.60
The Trial and Death of Socrates,Plato,4.11
"The Golem and the Jinni (The Golem and the Jinni, #1)",Helene Wecker,4.10
"Hunger (Gone, #2)",Michael  Grant,4.03
Millennium Approaches (Angels in America #1),Tony Kushner,4.24
"Infinity (Chronicles of Nick, #1)",Sherrilyn Kenyon,4.03
And the Ass Saw the Angel,Nick Cave,3.83
"The Likeness (Dublin Murder Squad, #2)",Tana French,4.05
Tara Road,Maeve Binchy,3.92
"End of Days (Penryn & the End of Days, #3)",Susan Ee,4.06
"Taking Chances (Taking Chances, #1)",Molly McAdams,3.85
The Luminaries,Eleanor Catton,3.72
"13 Little Blue Envelopes (Little Blue Envelope, #1)",Maureen Johnson,3.63
The Autobiography of Malcolm X,Malcolm X,4.33
"Same Kind of Different as Me: A Modern-Day Slave, an International Art Dealer, and the Unlikely Woman Who Bound Them Together",Ron Hall,4.16
"Born to Run: A Hidden Tribe, Superathletes, and the Greatest Race the World Has Never Seen",Christopher McDougall,4.30
The Guns of August,Barbara W. Tuchman,4.14
The Bridge of San Luis Rey,Thornton Wilder,3.80
Sorcery of Thorns,Margaret  Rogerson,4.08
The Complete Essays,Michel de Montaigne,4.24
"Rule of Wolves (King of Scars, #2)",Leigh Bardugo,4.41
Travesuras de la niña mala,Mario Vargas Llosa,4.10
The Bonesetter's Daughter,Amy Tan,3.98
ذاكرة الجسد,Ahlam Mosteghanemi,3.81
"The Icebound Land (Ranger's Apprentice, #3)",John Flanagan,4.24
Foundation and Empire (Foundation #2),Isaac Asimov,4.22
"Relic (Pendergast, #1)",Douglas Preston,4.04
"King of Scars (King of Scars, #1)",Leigh Bardugo,4.19
"Sword of Destiny (The Witcher, #0.7)",Andrzej Sapkowski,4.28
"The Killing Dance (Anita Blake, Vampire Hunter, #6)",Laurell K. Hamilton,4.12
Between the World and Me,Ta-Nehisi Coates,4.39
The Lathe of Heaven,Ursula K. Le Guin,4.11
"The Girl with All the Gifts (The Girl with All the Gifts, #1)",M.R. Carey,3.94
Concrete Island,J.G. Ballard,3.77
Recursion,Blake Crouch,4.15
"The Poppy War (The Poppy War, #1)",R.F. Kuang,4.09
The Outsider,Stephen King,3.99
"Enclave (Razorland, #1)",Ann Aguirre,3.90
"My Sister's Grave (Tracy Crosswhite, #1)",Robert Dugoni,4.06
The Yiddish Policemen's Union,Michael Chabon,3.71
"God Emperor of Dune (Dune Chronicles, #4)",Frank Herbert,3.87
The Drowned World,J.G. Ballard,3.53
Dare Me,Megan Abbott,3.23
"Never Never (Never Never, #1)",Colleen Hoover,4.04
Fruzzle's Mystery Talent: A Bed Time Fantasy Story for Children ages 3-10,Karen (Kara) Brueggeman,4.38
The Truth,Stephen Briggs,4.22
"I Hunt Killers (I Hunt Killers, #1)",Barry Lyga,4.02
"The Arctic Incident  (Artemis Fowl, #2)",Eoin Colfer,3.95
The Book of Occult,Simon W. Clark,3.63
The Lions of Al-Rassan,Guy Gavriel Kay,4.29
"Dead Beat (The Dresden Files, #7)",Jim Butcher,4.40
"Dash & Lily's Book of Dares (Dash & Lily, #1)",Rachel Cohn,3.76
Homegoing,Yaa Gyasi,4.47
Le Morte d'Arthur: King Arthur and the Legends of the Round Table,Thomas Malory,3.92
Into the Water,Paula Hawkins,3.59
"The Boxcar Children (The Boxcar Children, #1)",Gertrude Chandler Warner,4.12
"The Moses Expedition (Father Anthony Fowler, #2)",Juan Gomez-Jurado,3.70
Cell,Stephen King,3.66
"The Cabinet of Curiosities (Pendergast #3, Nora Kelly #0.5)",Douglas Preston,4.25
A Summer of Good-Byes (Blue Triangle Press Book 2),Fred Misurella,4.35
Song Bird: Matters of the Heart,Christine M. Knight,4.41
"Prince of Thorns (The Broken Empire, #1)",Mark  Lawrence,3.85
"Keys to the Demon Prison (Fablehaven, #5)",Brandon Mull,4.44
"Partials (Partials Sequence, #1)",Dan Wells,3.92
"The Archived (The Archived, #1)",Victoria Schwab,3.94
"Playing for Keeps (Neighbor from Hell, #1)",R.L. Mathewson,4.03
"Thief (Love Me with Lies, #3)",Tarryn Fisher,4.36
All I Really Need to Know I Learned in Kindergarten,Robert Fulghum,3.99
"The Curse of Chalion (World of the Five Gods, #1)",Lois McMaster Bujold,4.13
Circle of Friends,Maeve Binchy,4.05
"Pleasure Unbound (Demonica, #1)",Larissa Ione,4.04
The Meat Market (Jonathan Harkon Adventures #1),James Chalk,3.69
Homage to Catalonia,George Orwell,4.08
The One and Only Ivan,Katherine Applegate,4.26
"Revenge of the Witch (The Last Apprentice / Wardstone Chronicles, #1)",Joseph Delaney,4.00
The Bedroom Secrets of the Master Chefs,Irvine Welsh,3.49
Einstein: His Life and Universe,Walter Isaacson,4.14
Bloodrose (Nightshade #3; Nightshade World #6),Andrea Cremer,4.06
Nobody Move,Denis Johnson,3.31
"Isla and the Happily Ever After (Anna and the French Kiss, #3)",Stephanie Perkins,4.01
"Rainbow Six (John Clark, #2; Jack Ryan Universe, #10)",Tom Clancy,4.10
The Beautiful and Damned,F. Scott Fitzgerald,3.74
Get Rich or Get Lucky,Max Nowaz,4.28
"The Exiled Queen (Seven Realms, #2)",Cinda Williams Chima,4.33
"Summer Knight (The Dresden Files, #4)",Jim Butcher,4.26
The Sheltering Sky,Paul Bowles,3.90
Is Everyone Hanging Out Without Me?,Mindy Kaling,3.86
Going Bovine,Libba Bray,3.66
The Starless Sea,Erin Morgenstern,3.85
Maurice,E.M. Forster,4.06
Walden & Civil Disobedience,Henry David Thoreau,3.95
The Robe,Lloyd C. Douglas,4.20
"Midnight Awakening (Midnight Breed, #3)",Lara Adrian,4.22
"The Rose Society (The Young Elites, #2)",Marie Lu,4.05
Fierce Invalids Home from Hot Climates,Tom Robbins,4.03
Imperial Bedrooms,Bret Easton Ellis,3.17
The Bloody Chamber and Other Stories,Angela Carter,3.96
"The Retribution of Mara Dyer (Mara Dyer, #3)",Michelle Hodkin,4.07
Going Too Far,Jennifer Echols,3.92
"Demon from the Dark (Immortals After Dark, #9)",Kresley Cole,4.42
"Dragon Slippers (Dragon Slippers, #1)",Jessica Day George,4.24
"Midnight (The Vampire Diaries: The Return, #3)",L.J. Smith,3.77
Sundays at Tiffany's,James Patterson,3.77
"Shades of Grey (Shades of Grey, #1)",Jasper Fforde,4.15
"Storm Born (Dark Swan, #1)",Richelle Mead,3.88
"God Bless You, Mr. Rosewater",Kurt Vonnegut Jr.,3.94
Pinocchio,Carlo Collodi,3.85
"Eona: The Last Dragoneye (Eon, #2)",Alison Goodman,4.11
The Strange Case of Dr. Jekyll and Mr. Hyde and Other Tales of Terror,Robert Louis Stevenson,3.95
Thirteen for Dinner,Kathleen Lopez,4.25
Still Missing,Chevy Stevens,3.97
The Invention of Wings,Sue Monk Kidd,4.24
Blankets,Craig Thompson,4.04
"The Slippery Slope (A Series of Unfortunate Events, #10)",Lemony Snicket,4.03
"Froi of the Exiles (Lumatere Chronicles, #2)",Melina Marchetta,4.29
"Elon Musk: Tesla, SpaceX, and the Quest for a Fantastic Future",Ashlee Vance,4.21
"The Warrior's Apprentice (Vorkosigan Saga, #2)",Lois McMaster Bujold,4.26
Frisk,Dennis Cooper,3.61
Confessions of an Ugly Stepsister,Gregory Maguire,3.53
The Woman in Black,Susan         Hill,3.73
"Kiss of Crimson (Midnight Breed, #2)",Lara Adrian,4.13
"The Hollow (The Hollow, #1)",Jessica Verday,3.74
Snuff,Chuck Palahniuk,3.21
Atomic Habits: An Easy & Proven Way to Build Good Habits & Break Bad Ones,James Clear,4.38
The Elementary Particles,Michel Houellebecq,3.81
"Hourglass (Evernight, #3)",Claudia Gray,3.79
In a Sunburned Country,Bill Bryson,4.06
Lies My Teacher Told Me: Everything Your American History Textbook Got Wrong,James W. Loewen,3.95
"Crashing Down to Earth (Crashing Down to Earth, #1)",Terry  Reid,4.39
Congo,Michael Crichton,3.61
"The Slow Regard of Silent Things (The Kingkiller Chronicle, #2.5)",Patrick Rothfuss,3.89
The Killer Inside Me,Jim Thompson,3.89
Einstein's Dreams,Alan Lightman,4.07
The Chrysalids,John Wyndham,3.93
Harry Potter and the Methods of Rationality,Eliezer Yudkowsky,4.39
"Why They Stay: Sex Scandals, Deals, and Hidden Agendas of Eight Political Wives",Anne Michaud,4.32
Vanishing Acts,Jodi Picoult,3.70
Skinny Legs and All,Tom Robbins,4.05
Death in Venice and Other Tales,Thomas Mann,3.91
"The Bourne Supremacy (Jason Bourne, #2)",Robert Ludlum,4.10
"Fool's Errand (Tawny Man, #1)",Robin Hobb,4.31
"The Darkest Hour (Warriors, #6)",Erin Hunter,4.53
Money,Martin Amis,3.70
"Raised by Wolves (Raised by Wolves, #1)",Jennifer Lynn Barnes,3.92
The Known World,Edward P. Jones,3.81
"The Maze of Bones  (The 39 Clues, #1)",Rick Riordan,3.85
"These Broken Stars (Starbound, #1)",Amie Kaufman,3.89
Audition,Ryū Murakami,3.52
Coin Locker Babies,Ryū Murakami,3.77
"Blood And Gold (The Vampire Chronicles, #8)",Anne Rice,3.91
"King Rat (Asian Saga, #4)",James Clavell,4.16
"Wolf Brother (Chronicles of Ancient Darkness, #1)",Michelle Paver,4.19
Median Gray,Bill Mesce Jr.,4.28
"My Man Jeeves (Jeeves, #1)",P.G. Wodehouse,4.07
"Everlost (Skinjacker, #1)",Neal Shusterman,3.96
"Night Embrace (Dark-Hunter, #2)",Sherrilyn Kenyon,4.22
The Woods,Harlan Coben,4.04
"The Two Princesses of Bamarre (The Two Princesses of Bamarre, #1)",Gail Carson Levine,4.04
March,Geraldine Brooks,3.75
"Gormenghast (Gormenghast, #2)",Mervyn Peake,4.04
"Library of Souls (Miss Peregrine's Peculiar Children, #3)",Ransom Riggs,4.12
Love on the Line (Women at Work #1),Kirsten Fullmer,4.26
Arminius and Thusnelda Versus Rome,Michael G. Kramer,4.35
The City & the City,China Miéville,3.90
The House at Pooh Corner and Now We Are Six,A.A. Milne,4.27
Death Leaves a Shadow (Marlowe Black Mystery Book 2),Gabriel F.W. Koch,4.33
"Tropic of Capricorn (Tropic, #2)",Henry Miller,3.81
"Radiant Shadows (Wicked Lovely, #4)",Melissa Marr,3.97
يوتوبيا,أحمد خالد توفيق,3.93
Queer,William S. Burroughs,3.62
"My Wolf's Bane (Shapes of Autumn, #1)",Veronica Blade,3.75
The Body,Robin Waterfield,4.28
Piercing,Ryū Murakami,3.62
"Aztec (Aztec, #1)",Gary Jennings,4.24
"A Princess of Mars (Barsoom, #1)",Edgar Rice Burroughs,3.81
Believing Christ: The Parable of the Bicycle and Other Good News,Stephen E. Robinson,4.51
"Illusions (Wings, #3)",Aprilynne Pike,4.11
"The Ballad of Songbirds and Snakes (The Hunger Games, #0)",Suzanne Collins,3.82
Sula,Toni Morrison,3.97
The Myth of Sisyphus and Other Essays,Albert Camus,4.21
"The Complete Wreck (A Series of Unfortunate Events, Books 1-13)",Lemony Snicket,4.32
Entwined,Heather Dixon Wallwork,3.86
"Heir to the Empire (Star Wars: The Thrawn Trilogy, #1)",Timothy Zahn,4.15
Into the Darkest Corner,Elizabeth Haynes,4.08
Save Yourself,Kelly Braffet,3.44
Magic's Pawn (The Last Herald-Mage #1),Mercedes Lackey,4.22
Fever 1793,Laurie Halse Anderson,3.92
"The Amazing Maurice and His Educated Rodents (Discworld, #28)",Terry Pratchett,4.02
A Fraction of the Whole,Steve Toltz,4.14
On Beauty,Zadie Smith,3.74
"The Merchant of Death (Pendragon, #1)",D.J. MacHale,3.96
"Flashback (Keeper of the Lost Cities, #7)",Shannon Messenger,4.41
Delta of Venus,Anaïs Nin,3.63
Secrets of the Realm,Bev Stout,3.89
A Raisin in the Sun,Lorraine Hansberry,3.83
"Touch of Power (Healer, #1)",Maria V. Snyder,4.14
The Beagle and the Hare,Kevin Moccia,4.40
"Finding Cinderella (Hopeless, #2.5)",Colleen Hoover,4.21
"Dreamless (Starcrossed, #2)",Josephine Angelini,4.18
The Lost World (Professor Challenger #1),Arthur Conan Doyle,3.93
"Anne's House of Dreams (Anne of Green Gables, #5)",L.M. Montgomery,4.15
"Skyward (Skyward, #1)",Brandon Sanderson,4.50
Memórias Póstumas de Brás Cubas,Machado de Assis,4.27
"The Sorceress (The Secrets of the Immortal Nicholas Flamel, #3)",Michael Scott,4.11
Donde los árboles cantan,Laura Gallego García,4.23
"Driven (Driven, #1)",K. Bromberg,4.27
"Sempre (Sempre, #1)",J.M. Darhower,4.15
My Name Is Memory,Ann Brashares,3.71
Of Love and Other Demons,Gabriel García Márquez,3.98
"Tiger's Destiny (The Tiger Saga, #4)",Colleen Houck,4.38
"Homeland (Forgotten Realms: The Dark Elf Trilogy, #1; Legend of Drizzt, #1)",R.A. Salvatore,4.24
"Nevermore (Maximum Ride, #8)",James Patterson,3.89
Colorless Tsukuru Tazaki and His Years of Pilgrimage,Haruki Murakami,3.86
"The Laughing Corpse (Anita Blake, Vampire Hunter, #2)",Laurell K. Hamilton,4.11
"Blood of Elves (The Witcher, #1)",Andrzej Sapkowski,4.10
The Storyteller,Antonia Michaelis,4.04
Small Great Things,Jodi Picoult,4.34
"A Swiftly Tilting Planet (Time Quintet, #3)",Madeleine L'Engle,4.08
"United We Spy (Gallagher Girls, #6)",Ally Carter,4.44
Wolfsbane (Nightshade #2; Nightshade World #5),Andrea Cremer,4.11
The Witch of Portobello,Paulo Coelho,3.55
"Patriot Games (Jack Ryan, #1)",Tom Clancy,4.14
"Ten Tiny Breaths (Ten Tiny Breaths, #1)",K.A. Tucker,4.11
The Signature of All Things,Elizabeth Gilbert,3.85
The Call to Serve (The Serve #1),Cece Whittaker,4.20
"House of Spies (Gabriel Allon, #17)",Daniel Silva,4.28
Persona normal,Benito Taibo,4.42
"His Majesty's Dragon (Temeraire, #1)",Naomi Novik,4.04
The Kindly Ones,Jonathan Littell,3.91
"Gabriel's Redemption (Gabriel's Inferno, #3)",Sylvain Reynard,4.21
The Sugar Queen,Sarah Addison Allen,3.98
"Light (Gone, #6)",Michael  Grant,4.37
"A Fistful of Charms (The Hollows, #4)",Kim Harrison,4.26
أولاد حارتنا,Naguib Mahfouz,4.10
Abarat,Clive Barker,4.09
"The Distance Between Us (Old Town Shops, #1)",Kasie West,3.91
4 3 2 1,Paul Auster,3.93
"Warcross (Warcross, #1)",Marie Lu,4.15
All Creatures Great and Small / All Things Bright and Beautiful,James Herriot,4.29
The Fan Man,William Kotzwinkle,4.05
The 48 Laws of Power,Robert Greene,4.14
Boy Meets Boy,David Levithan,3.82
The Perfect Storm: A True Story of Men Against the Sea,Sebastian Junger,4.10
"Supernova (Renegades, #3)",Marissa Meyer,4.42
"Flat-Out Love (Flat-Out Love, #1)",Jessica Park,3.99
The Swiss Family Robinson,Johann David Wyss,3.91
The Reluctant Fundamentalist,Mohsin Hamid,3.71
